t_s,phase,frame,adapt_on,drift,drift_frac,err_masked_deg,err_leg_deg,err_all_deg,act_dev_max,dev_clamped,loop_ms
0.0000,ramp,0,0,0.000000,0.000000,nan,nan,nan,0.0000,0,0.00
0.0203,ramp,0,0,0.000000,0.000000,nan,nan,nan,0.0000,0,11.64
0.0402,ramp,0,0,0.000000,0.000000,nan,nan,nan,0.0000,0,2.32
0.0602,ramp,0,0,0.000000,0.000000,nan,nan,nan,0.0000,0,10.42
0.0802,ramp,0,0,0.000000,0.000000,nan,nan,nan,0.0000,0,9.25
0.1005,ramp,0,0,0.000000,0.000000,nan,nan,nan,0.0000,0,9.71
0.1201,ramp,0,0,0.000000,0.000000,nan,nan,nan,0.0000,0,11.06
0.1404,ramp,0,0,0.000000,0.000000,nan,nan,nan,0.0000,0,11.50
0.1602,ramp,0,0,0.000000,0.000000,nan,nan,nan,0.0000,0,10.10
0.1803,ramp,0,0,0.000000,0.000000,nan,nan,nan,0.0000,0,9.12
0.2011,ramp,0,0,0.000000,0.000000,nan,nan,nan,0.0000,0,9.41
0.2202,ramp,0,0,0.000000,0.000000,nan,nan,nan,0.0000,0,8.53
0.2401,ramp,0,0,0.000000,0.000000,nan,nan,nan,0.0000,0,13.27
0.2602,ramp,0,0,0.000000,0.000000,nan,nan,nan,0.0000,0,10.67
0.2802,ramp,0,0,0.000000,0.000000,nan,nan,nan,0.0000,0,9.30
0.3004,ramp,0,0,0.000000,0.000000,nan,nan,nan,0.0000,0,9.31
0.3203,ramp,0,0,0.000000,0.000000,nan,nan,nan,0.0000,0,9.26
0.3402,ramp,0,0,0.000000,0.000000,nan,nan,nan,0.0000,0,9.12
0.3601,ramp,0,0,0.000000,0.000000,nan,nan,nan,0.0000,0,9.23
0.3803,ramp,0,0,0.000000,0.000000,nan,nan,nan,0.0000,0,9.42
0.4005,ramp,0,0,0.000000,0.000000,nan,nan,nan,0.0000,0,10.52
0.4202,ramp,0,0,0.000000,0.000000,nan,nan,nan,0.0000,0,8.98
0.4403,ramp,0,0,0.000000,0.000000,nan,nan,nan,0.0000,0,10.14
0.4602,ramp,0,0,0.000000,0.000000,nan,nan,nan,0.0000,0,9.57
0.4803,ramp,0,0,0.000000,0.000000,nan,nan,nan,0.0000,0,9.21
0.5003,ramp,0,0,0.000000,0.000000,nan,nan,nan,0.0000,0,12.22
0.5201,ramp,0,0,0.000000,0.000000,nan,nan,nan,0.0000,0,9.02
0.5402,ramp,0,0,0.000000,0.000000,nan,nan,nan,0.0000,0,11.41
0.5603,ramp,0,0,0.000000,0.000000,nan,nan,nan,0.0000,0,11.43
0.5803,ramp,0,0,0.000000,0.000000,nan,nan,nan,0.0000,0,9.96
0.6012,ramp,0,0,0.000000,0.000000,nan,nan,nan,0.0000,0,11.04
0.6206,ramp,0,0,0.000000,0.000000,nan,nan,nan,0.0000,0,8.98
