t_s,phase,frame,adapt_on,drift,drift_frac,err_masked_deg,err_leg_deg,err_all_deg,act_dev_max,dev_clamped,loop_ms
0.0000,ramp,0,0,0.000000,0.000000,nan,nan,nan,0.0000,0,0.00
0.0207,ramp,0,0,0.000000,0.000000,nan,nan,nan,0.0000,0,8.51
0.0411,ramp,0,0,0.000000,0.000000,nan,nan,nan,0.0000,0,11.63
0.0601,ramp,0,0,0.000000,0.000000,nan,nan,nan,0.0000,0,16.43
0.0805,ramp,0,0,0.000000,0.000000,nan,nan,nan,0.0000,0,10.23
0.1006,ramp,0,0,0.000000,0.000000,nan,nan,nan,0.0000,0,9.61
0.1206,ramp,0,0,0.000000,0.000000,nan,nan,nan,0.0000,0,9.26
0.1406,ramp,0,0,0.000000,0.000000,nan,nan,nan,0.0000,0,8.57
0.1606,ramp,0,0,0.000000,0.000000,nan,nan,nan,0.0000,0,9.50
0.1803,ramp,0,0,0.000000,0.000000,nan,nan,nan,0.0000,0,12.17
0.2006,ramp,0,0,0.000000,0.000000,nan,nan,nan,0.0000,0,9.65
0.2205,ramp,0,0,0.000000,0.000000,nan,nan,nan,0.0000,0,8.04
0.2408,ramp,0,0,0.000000,0.000000,nan,nan,nan,0.0000,0,9.45
0.2607,ramp,0,0,0.000000,0.000000,nan,nan,nan,0.0000,0,10.39
0.2806,ramp,0,0,0.000000,0.000000,nan,nan,nan,0.0000,0,11.43
0.3010,ramp,0,0,0.000000,0.000000,nan,nan,nan,0.0000,0,9.90
0.3204,ramp,0,0,0.000000,0.000000,nan,nan,nan,0.0000,0,7.74
0.3410,ramp,0,0,0.000000,0.000000,nan,nan,nan,0.0000,0,9.35
0.3604,ramp,0,0,0.000000,0.000000,nan,nan,nan,0.0000,0,10.84
0.3807,ramp,0,0,0.000000,0.000000,nan,nan,nan,0.0000,0,11.46
0.4004,ramp,0,0,0.000000,0.000000,nan,nan,nan,0.0000,0,8.04
0.4204,ramp,0,0,0.000000,0.000000,nan,nan,nan,0.0000,0,9.34
0.4403,ramp,0,0,0.000000,0.000000,nan,nan,nan,0.0000,0,8.34
0.4608,ramp,0,0,0.000000,0.000000,nan,nan,nan,0.0000,0,11.32
0.4804,ramp,0,0,0.000000,0.000000,nan,nan,nan,0.0000,0,9.84
0.5004,ramp,0,0,0.000000,0.000000,nan,nan,nan,0.0000,0,8.39
0.5207,ramp,0,0,0.000000,0.000000,nan,nan,nan,0.0000,0,8.20
0.5405,ramp,0,0,0.000000,0.000000,nan,nan,nan,0.0000,0,9.10
0.5604,ramp,0,0,0.000000,0.000000,nan,nan,nan,0.0000,0,10.47
0.5805,ramp,0,0,0.000000,0.000000,nan,nan,nan,0.0000,0,13.65
0.6005,ramp,0,0,0.000000,0.000000,nan,nan,nan,0.0000,0,9.59
0.6204,ramp,0,0,0.000000,0.000000,nan,nan,nan,0.0000,0,9.15
0.6406,ramp,0,0,0.000000,0.000000,nan,nan,nan,0.0000,0,9.31
0.6605,ramp,0,0,0.000000,0.000000,nan,nan,nan,0.0000,0,9.33
0.6805,ramp,0,0,0.000000,0.000000,nan,nan,nan,0.0000,0,11.00
0.7006,ramp,0,0,0.000000,0.000000,nan,nan,nan,0.0000,0,9.95
0.7206,ramp,0,0,0.000000,0.000000,nan,nan,nan,0.0000,0,2.27
0.7408,ramp,0,0,0.000000,0.000000,nan,nan,nan,0.0000,0,9.17
0.7607,ramp,0,0,0.000000,0.000000,nan,nan,nan,0.0000,0,10.18
0.7804,ramp,0,0,0.000000,0.000000,nan,nan,nan,0.0000,0,8.31
0.8006,ramp,0,0,0.000000,0.000000,nan,nan,nan,0.0000,0,9.48
0.8205,ramp,0,0,0.000000,0.000000,nan,nan,nan,0.0000,0,9.15
0.8404,ramp,0,0,0.000000,0.000000,nan,nan,nan,0.0000,0,9.35
0.8609,ramp,0,0,0.000000,0.000000,nan,nan,nan,0.0000,0,9.43
0.8806,ramp,0,0,0.000000,0.000000,nan,nan,nan,0.0000,0,11.15
0.9004,ramp,0,0,0.000000,0.000000,nan,nan,nan,0.0000,0,9.26
0.9205,ramp,0,0,0.000000,0.000000,nan,nan,nan,0.0000,0,9.11
0.9406,ramp,0,0,0.000000,0.000000,nan,nan,nan,0.0000,0,8.51
0.9605,ramp,0,0,0.000000,0.000000,nan,nan,nan,0.0000,0,9.60
0.9805,ramp,0,0,0.000000,0.000000,nan,nan,nan,0.0000,0,11.31
1.0005,ramp,0,0,0.000000,0.000000,nan,nan,nan,0.0000,0,9.21
1.0205,ramp,0,0,0.000000,0.000000,nan,nan,nan,0.0000,0,9.98
1.0404,ramp,0,0,0.000000,0.000000,nan,nan,nan,0.0000,0,9.18
1.0604,ramp,0,0,0.000000,0.000000,nan,nan,nan,0.0000,0,9.52
1.0804,ramp,0,0,0.000000,0.000000,nan,nan,nan,0.0000,0,11.70
1.1005,ramp,0,0,0.000000,0.000000,nan,nan,nan,0.0000,0,9.37
1.1206,ramp,0,0,0.000000,0.000000,nan,nan,nan,0.0000,0,9.18
1.1404,ramp,0,0,0.000000,0.000000,nan,nan,nan,0.0000,0,9.21
1.1605,ramp,0,0,0.000000,0.000000,nan,nan,nan,0.0000,0,9.40
1.1808,ramp,0,0,0.000000,0.000000,nan,nan,nan,0.0000,0,10.32
1.2005,ramp,0,0,0.000000,0.000000,nan,nan,nan,0.0000,0,9.00
1.2205,ramp,0,0,0.000000,0.000000,nan,nan,nan,0.0000,0,9.29
1.2407,ramp,0,0,0.000000,0.000000,nan,nan,nan,0.0000,0,9.30
1.2605,ramp,0,0,0.000000,0.000000,nan,nan,nan,0.0000,0,10.13
1.2805,ramp,0,0,0.000000,0.000000,nan,nan,nan,0.0000,0,10.36
1.3006,ramp,0,0,0.000000,0.000000,nan,nan,nan,0.0000,0,9.21
1.3206,ramp,0,0,0.000000,0.000000,nan,nan,nan,0.0000,0,9.17
1.3403,ramp,0,0,0.000000,0.000000,nan,nan,nan,0.0000,0,6.05
1.3606,ramp,0,0,0.000000,0.000000,nan,nan,nan,0.0000,0,9.49
1.3803,ramp,0,0,0.000000,0.000000,nan,nan,nan,0.0000,0,10.72
1.4004,ramp,0,0,0.000000,0.000000,nan,nan,nan,0.0000,0,8.20
1.4204,ramp,0,0,0.000000,0.000000,nan,nan,nan,0.0000,0,9.32
1.4405,ramp,0,0,0.000000,0.000000,nan,nan,nan,0.0000,0,9.36
1.4610,ramp,0,0,0.000000,0.000000,nan,nan,nan,0.0000,0,9.15
1.4806,ramp,0,0,0.000000,0.000000,nan,nan,nan,0.0000,0,9.60
1.5005,ramp,0,0,0.000000,0.000000,nan,nan,nan,0.0000,0,9.13
1.5205,ramp,0,0,0.000000,0.000000,nan,nan,nan,0.0000,0,8.88
1.5408,ramp,0,0,0.000000,0.000000,nan,nan,nan,0.0000,0,9.05
1.5603,ramp,0,0,0.000000,0.000000,nan,nan,nan,0.0000,0,9.10
1.5804,ramp,0,0,0.000000,0.000000,nan,nan,nan,0.0000,0,10.66
1.6006,ramp,0,0,0.000000,0.000000,nan,nan,nan,0.0000,0,8.26
1.6205,ramp,0,0,0.000000,0.000000,nan,nan,nan,0.0000,0,9.92
1.6406,ramp,0,0,0.000000,0.000000,nan,nan,nan,0.0000,0,9.08
1.6606,ramp,0,0,0.000000,0.000000,nan,nan,nan,0.0000,0,9.21
1.6804,ramp,0,0,0.000000,0.000000,nan,nan,nan,0.0000,0,13.05
1.7006,ramp,0,0,0.000000,0.000000,nan,nan,nan,0.0000,0,9.20
1.7206,ramp,0,0,0.000000,0.000000,nan,nan,nan,0.0000,0,8.98
1.7404,ramp,0,0,0.000000,0.000000,nan,nan,nan,0.0000,0,9.23
1.7608,ramp,0,0,0.000000,0.000000,nan,nan,nan,0.0000,0,2.17
1.7806,ramp,0,0,0.000000,0.000000,nan,nan,nan,0.0000,0,10.99
1.8004,ramp,0,0,0.000000,0.000000,nan,nan,nan,0.0000,0,10.12
1.8203,ramp,0,0,0.000000,0.000000,nan,nan,nan,0.0000,0,9.04
1.8405,ramp,0,0,0.000000,0.000000,nan,nan,nan,0.0000,0,9.37
1.8606,ramp,0,0,0.000000,0.000000,nan,nan,nan,0.0000,0,10.45
1.8805,ramp,0,0,0.000000,0.000000,nan,nan,nan,0.0000,0,13.50
1.9005,ramp,0,0,0.000000,0.000000,nan,nan,nan,0.0000,0,9.24
1.9202,ramp,0,0,0.000000,0.000000,nan,nan,nan,0.0000,0,8.96
1.9409,ramp,0,0,0.000000,0.000000,nan,nan,nan,0.0000,0,9.28
1.9606,ramp,0,0,0.000000,0.000000,nan,nan,nan,0.0000,0,10.91
