t_s,phase,frame,adapt_on,drift,drift_frac,err_masked_deg,err_leg_deg,err_all_deg,act_dev_max,dev_clamped,loop_ms
0.0000,ramp,0,0,0.000000,0.000000,nan,nan,nan,0.0000,0,0.00
0.0202,ramp,0,0,0.000000,0.000000,nan,nan,nan,0.0000,0,5.29
0.0408,ramp,0,0,0.000000,0.000000,nan,nan,nan,0.0000,0,8.77
0.0611,ramp,0,0,0.000000,0.000000,nan,nan,nan,0.0000,0,8.59
0.0807,ramp,0,0,0.000000,0.000000,nan,nan,nan,0.0000,0,9.09
0.1009,ramp,0,0,0.000000,0.000000,nan,nan,nan,0.0000,0,9.17
0.1211,ramp,0,0,0.000000,0.000000,nan,nan,nan,0.0000,0,8.78
0.1409,ramp,0,0,0.000000,0.000000,nan,nan,nan,0.0000,0,9.75
0.1601,ramp,0,0,0.000000,0.000000,nan,nan,nan,0.0000,0,9.20
0.1810,ramp,0,0,0.000000,0.000000,nan,nan,nan,0.0000,0,8.97
0.2009,ramp,0,0,0.000000,0.000000,nan,nan,nan,0.0000,0,8.11
0.2211,ramp,0,0,0.000000,0.000000,nan,nan,nan,0.0000,0,8.86
0.2410,ramp,0,0,0.000000,0.000000,nan,nan,nan,0.0000,0,9.36
0.2609,ramp,0,0,0.000000,0.000000,nan,nan,nan,0.0000,0,9.07
0.2808,ramp,0,0,0.000000,0.000000,nan,nan,nan,0.0000,0,9.15
0.3007,ramp,0,0,0.000000,0.000000,nan,nan,nan,0.0000,0,8.96
0.3210,ramp,0,0,0.000000,0.000000,nan,nan,nan,0.0000,0,9.19
0.3409,ramp,0,0,0.000000,0.000000,nan,nan,nan,0.0000,0,12.11
0.3613,ramp,0,0,0.000000,0.000000,nan,nan,nan,0.0000,0,8.69
0.3808,ramp,0,0,0.000000,0.000000,nan,nan,nan,0.0000,0,8.77
0.4007,ramp,0,0,0.000000,0.000000,nan,nan,nan,0.0000,0,8.82
0.4213,ramp,0,0,0.000000,0.000000,nan,nan,nan,0.0000,0,9.18
