t_s,phase,frame,adapt_on,drift,drift_frac,err_masked_deg,err_leg_deg,err_all_deg,act_dev_max,dev_clamped,loop_ms
0.0000,ramp,0,0,0.000000,0.000000,nan,nan,nan,0.0000,0,0.00
0.0207,ramp,0,0,0.000000,0.000000,nan,nan,nan,0.0000,0,11.62
0.0410,ramp,0,0,0.000000,0.000000,nan,nan,nan,0.0000,0,9.07
0.0608,ramp,0,0,0.000000,0.000000,nan,nan,nan,0.0000,0,9.82
0.0808,ramp,0,0,0.000000,0.000000,nan,nan,nan,0.0000,0,8.85
0.1008,ramp,0,0,0.000000,0.000000,nan,nan,nan,0.0000,0,9.02
0.1201,ramp,0,0,0.000000,0.000000,nan,nan,nan,0.0000,0,10.36
0.1405,ramp,0,0,0.000000,0.000000,nan,nan,nan,0.0000,0,9.76
0.1605,ramp,0,0,0.000000,0.000000,nan,nan,nan,0.0000,0,10.36
0.1808,ramp,0,0,0.000000,0.000000,nan,nan,nan,0.0000,0,9.07
0.2010,ramp,0,0,0.000000,0.000000,nan,nan,nan,0.0000,0,8.88
0.2206,ramp,0,0,0.000000,0.000000,nan,nan,nan,0.0000,0,9.84
0.2419,ramp,0,0,0.000000,0.000000,nan,nan,nan,0.0000,0,9.31
0.2609,ramp,0,0,0.000000,0.000000,nan,nan,nan,0.0000,0,11.72
0.2806,ramp,0,0,0.000000,0.000000,nan,nan,nan,0.0000,0,8.69
0.3007,ramp,0,0,0.000000,0.000000,nan,nan,nan,0.0000,0,9.00
0.3209,ramp,0,0,0.000000,0.000000,nan,nan,nan,0.0000,0,10.05
0.3408,ramp,0,0,0.000000,0.000000,nan,nan,nan,0.0000,0,2.64
0.3607,ramp,0,0,0.000000,0.000000,nan,nan,nan,0.0000,0,10.02
0.3830,ramp,0,0,0.000000,0.000000,nan,nan,nan,0.0000,0,11.82
0.4007,ramp,0,0,0.000000,0.000000,nan,nan,nan,0.0000,0,10.09
0.4207,ramp,0,0,0.000000,0.000000,nan,nan,nan,0.0000,0,10.20
0.4410,ramp,0,0,0.000000,0.000000,nan,nan,nan,0.0000,0,10.27
0.4606,ramp,0,0,0.000000,0.000000,nan,nan,nan,0.0000,0,9.81
0.4808,ramp,0,0,0.000000,0.000000,nan,nan,nan,0.0000,0,8.99
0.5008,ramp,0,0,0.000000,0.000000,nan,nan,nan,0.0000,0,9.04
