t_s,wall_time,phase,frame,roll,base_ang_vel_x,base_ang_vel_y,base_ang_vel_z,base_quat_x,base_quat_y,base_quat_z,base_quat_w,left_hip_pitch_joint__pos_meas,left_hip_pitch_joint__vel_meas,left_hip_pitch_joint__tgt,left_hip_roll_joint__pos_meas,left_hip_roll_joint__vel_meas,left_hip_roll_joint__tgt,left_hip_yaw_joint__pos_meas,left_hip_yaw_joint__vel_meas,left_hip_yaw_joint__tgt,left_knee_joint__pos_meas,left_knee_joint__vel_meas,left_knee_joint__tgt,left_ankle_pitch_joint__pos_meas,left_ankle_pitch_joint__vel_meas,left_ankle_pitch_joint__tgt,left_ankle_roll_joint__pos_meas,left_ankle_roll_joint__vel_meas,left_ankle_roll_joint__tgt,right_hip_pitch_joint__pos_meas,right_hip_pitch_joint__vel_meas,right_hip_pitch_joint__tgt,right_hip_roll_joint__pos_meas,right_hip_roll_joint__vel_meas,right_hip_roll_joint__tgt,right_hip_yaw_joint__pos_meas,right_hip_yaw_joint__vel_meas,right_hip_yaw_joint__tgt,right_knee_joint__pos_meas,right_knee_joint__vel_meas,right_knee_joint__tgt,right_ankle_pitch_joint__pos_meas,right_ankle_pitch_joint__vel_meas,right_ankle_pitch_joint__tgt,right_ankle_roll_joint__pos_meas,right_ankle_roll_joint__vel_meas,right_ankle_roll_joint__tgt,waist_yaw_joint__pos_meas,waist_yaw_joint__vel_meas,waist_yaw_joint__tgt,waist_pitch_joint__pos_meas,waist_pitch_joint__vel_meas,waist_pitch_joint__tgt,waist_roll_joint__pos_meas,waist_roll_joint__vel_meas,waist_roll_joint__tgt,left_shoulder_pitch_joint__pos_meas,left_shoulder_pitch_joint__vel_meas,left_shoulder_pitch_joint__tgt,left_shoulder_roll_joint__pos_meas,left_shoulder_roll_joint__vel_meas,left_shoulder_roll_joint__tgt,left_shoulder_yaw_joint__pos_meas,left_shoulder_yaw_joint__vel_meas,left_shoulder_yaw_joint__tgt,left_elbow_joint__pos_meas,left_elbow_joint__vel_meas,left_elbow_joint__tgt,left_wrist_yaw_joint__pos_meas,left_wrist_yaw_joint__vel_meas,left_wrist_yaw_joint__tgt,left_wrist_pitch_joint__pos_meas,left_wrist_pitch_joint__vel_meas,left_wrist_pitch_joint__tgt,left_wrist_roll_joint__pos_meas,left_wrist_roll_joint__vel_meas,left_wrist_roll_joint__tgt,right_shoulder_pitch_joint__pos_meas,right_shoulder_pitch_joint__vel_meas,right_shoulder_pitch_joint__tgt,right_shoulder_roll_joint__pos_meas,right_shoulder_roll_joint__vel_meas,right_shoulder_roll_joint__tgt,right_shoulder_yaw_joint__pos_meas,right_shoulder_yaw_joint__vel_meas,right_shoulder_yaw_joint__tgt,right_elbow_joint__pos_meas,right_elbow_joint__vel_meas,right_elbow_joint__tgt,right_wrist_yaw_joint__pos_meas,right_wrist_yaw_joint__vel_meas,right_wrist_yaw_joint__tgt,right_wrist_pitch_joint__pos_meas,right_wrist_pitch_joint__vel_meas,right_wrist_pitch_joint__tgt,right_wrist_roll_joint__pos_meas,right_wrist_roll_joint__vel_meas,right_wrist_roll_joint__tgt,head_yaw_joint__pos_meas,head_yaw_joint__vel_meas,head_yaw_joint__tgt,head_pitch_joint__pos_meas,head_pitch_joint__vel_meas,head_pitch_joint__tgt,pelvis_roll,pelvis_ang_vel_x,pelvis_ang_vel_y,pelvis_ang_vel_z,obs_ang_vel_x,obs_ang_vel_y,obs_ang_vel_z
0.0000,1786562720.6721,ramp,0,0.006724,-0.0005364218910455439,7.05178854164718e-05,0.003927093702390292,0.0030273562297225,0.3768419325351715,-0.001054044347256422,0.9262720346450806,-2.2843525409698486,-0.0061054229736328125,-2.284345004006461,0.14486360549926758,-0.0061054229736328125,0.1448630816747109,-1.5934958457946777,0.0061054229736328125,-1.5934900836891708,0.5584568977355957,-0.0061054229736328125,0.5584563247839249,0.5036177635192871,0.0061054229736328125,0.5036152192327013,0.3458118438720703,0.0061054229736328125,0.3458105934371175,-2.3010339736938477,0.0061054229736328125,-2.3010263764093213,-0.02272176742553711,-0.0061054229736328125,-0.022721685277341627,-1.546518325805664,0.0061054229736328125,-1.5465127336181974,0.4815669059753418,0.0061054229736328125,0.48156661105109205,-0.06145429611206055,-0.0061054229736328125,-0.061454797098024476,0.3312397003173828,0.0061054229736328125,0.331238502544769,-0.13201618194580078,-0.0061054229736328125,-0.13201570458754128,0.26829687512106265,1.9672321581128297e-05,0.2682959049843336,0.019885534329456084,0.0058085356556276885,0.01988546242993092,0.10478830337524414,-0.0061054229736328125,0.10478864764189108,0.816162109375,-0.0061054229736328125,0.8161598813121859,-0.5116710662841797,0.0061054229736328125,-0.5116692160937355,-0.9175949096679688,-0.0061054229736328125,-0.9175926764800573,0.32050132751464844,0.0061054229736328125,0.320500168568392,0.5468454360961914,-0.0073261260986328125,0.5468434586590732,-1.5459299087524414,-0.0073261260986328125,-1.5459243186127736,0.16039466857910156,0.0061054229736328125,0.16039481175772147,0.1314411163330078,-0.0061054229736328125,0.13143991784558412,-0.37783336639404297,0.0061054229736328125,-0.37783200017219387,-0.9737763404846191,0.0061054229736328125,-0.9737739041365714,-1.1444292068481445,0.0061054229736328125,-1.1444250686091415,-0.02155303955078125,0.0073261260986328125,-0.021552961659013565,1.547837257385254,-0.0073261260986328125,1.5478316605296836,0.015100479125976562,0.0030689239501953125,0.015100424522644032,0.0,0.0,5.4285335574847865e-27,0.06193495914340019,-0.005036173388361931,0.0006412510992959142,0.011574605479836464,-0.005036173388361931,0.0006412510992959142,0.011574605479836464
0.0209,1786562720.6929,ramp,0,0.006710,-0.0009474417941504938,0.010739879530773861,-0.006706343128713114,0.0030227159149944782,0.37685245275497437,-0.0010559626389294863,0.9262678623199463,-2.2843525409698486,-0.07936477661132812,-2.2756405433148,0.14486360549926758,-0.0061054229736328125,0.1442581151877752,-1.5946459770202637,0.0061054229736328125,-1.5868354114681948,0.558840274810791,0.128204345703125,0.5577946212516256,0.49805736541748047,-0.5555553436279297,0.500676815337666,0.33104753494262695,-0.75091552734375,0.34436646251404857,-2.3010339736938477,0.0061054229736328125,-2.2922522506614533,-0.02272176742553711,-0.0061054229736328125,-0.022626812090130656,-1.546518325805664,0.0061054229736328125,-1.5400543002306146,0.4815669059753418,-0.0061054229736328125,0.4812260021869391,-0.06145429611206055,0.03052520751953125,-0.06203338722853031,0.3229942321777344,-1.1416358947753906,0.3298551915084608,-0.13201618194580078,-0.0061054229736328125,-0.13146440216081295,0.26829687512106265,1.9672321581128297e-05,0.2671754912859366,0.019885534329456084,0.0058085356556276885,0.01980242546154409,0.10478830337524414,-0.0061054229736328125,0.10518624218249924,0.816162109375,-0.0061054229736328125,0.813586685160432,-0.5116710662841797,0.0061054229736328125,-0.5095324258287884,-0.9175949096679688,-0.0061054229736328125,-0.9150135613387205,0.32050132751464844,0.018314361572265625,0.3191616982038851,0.5468454360961914,-0.0073261260986328125,0.5445597108444841,-1.542496681213379,0.4322338104248047,-1.5394682502339363,0.16039466857910156,0.0061054229736328125,0.16056016915759644,0.13124942779541016,-0.05494499206542969,0.13005578127330017,-0.37783336639404297,0.018314361572265625,-0.3762541466296108,-0.9737763404846191,0.0061054229736328125,-0.9709601587696008,-1.1444292068481445,0.0061054229736328125,-1.1396458044835693,-0.02155303955078125,0.0073261260986328125,-0.021463004232507153,1.544785499572754,-0.373626708984375,1.541367835935766,0.015100479125976562,0.009205818176269531,0.01503736297687228,0.0,0.0,6.2748575508120984e-24,0.061927687376737595,-0.006735028699040413,0.011841021478176117,0.00163713947404176,-0.006735028699040413,0.011841021478176117,0.00163713947404176
0.0412,1786562720.7134,ramp,0,0.006971,-0.012730581002337784,-0.033679743707687344,0.05369792875408056,0.0030387130100280046,0.3767387270927429,-0.0008459935779683292,0.9263141751289368,-2.2843525409698486,-0.018314361572265625,-2.267180871354873,0.14486360549926758,-0.0061054229736328125,0.14367016169961389,-1.5979056358337402,-0.04273414611816406,-1.5803678833829427,0.5599908828735352,-0.018314361572265625,0.5571515262895977,0.48444318771362305,-0.5311355590820312,0.4978210458743625,0.31302356719970703,-0.5555553436279297,0.3429629437540578,-2.302567481994629,-0.018314361572265625,-2.2837248727811414,-0.02272176742553711,-0.0061054229736328125,-0.02253460694727024,-1.5482439994812012,0.05494499206542969,-1.5337774923077148,0.48041677474975586,0.0061054229736328125,0.4808949719991485,-0.06087923049926758,-0.018314361572265625,-0.06259570612187881,0.308229923248291,-0.5677661895751953,0.3285107822451822,-0.1323995590209961,-0.0061054229736328125,-0.13092860358051714,0.26829687512106265,1.9672321581128297e-05,0.266086586104605,0.019885534329456084,0.0058085356556276885,0.019721723676794537,0.10478830337524414,-0.03052520751953125,0.10557265548319056,0.816162109375,-0.0061054229736328125,0.811085852989033,-0.5116710662841797,0.0061054229736328125,-0.5074557268431827,-0.9175949096679688,-0.018314361572265625,-0.9125069766328476,0.32050132751464844,0.0061054229736328125,0.31786086859330875,0.5468454360961914,-0.021978378295898438,0.5423401870813251,-1.5375375747680664,0.13919448852539062,-1.533193740810493,0.16039466857910156,-0.018314361572265625,0.16072087634080295,0.1297154426574707,-0.128204345703125,0.12871056968994757,-0.3772578239440918,0.05494499206542969,-0.3747206658266188,-0.9737763404846191,0.0061054229736328125,-0.9682255421601953,-1.1444292068481445,0.018314361572265625,-1.1350009438604503,-0.02155303955078125,0.0073261260986328125,-0.021375576608262437,1.543259620666504,-0.0659332275390625,1.5350857884192055,0.015100479125976562,0.0030689239501953125,0.014976074861569972,0.0,0.0,1.23679763252847e-23,0.062304653227329254,-0.008376832120120525,-0.03395179286599159,0.06214079633355141,-0.008376832120120525,-0.03395179286599159,0.06214079633355141
0.0608,1786562720.7327,ramp,0,0.007670,-0.0515570676492255,-0.08254124916710251,0.06370801892238864,0.0030280339997261763,0.37638363242149353,-0.0001516397314844653,0.9264589548110962,-2.283968925476074,0.07936477661132812,-2.2589892109782603,0.14505529403686523,0.018314361572265625,0.1431008352156702,-1.598097324371338,0.0061054229736328125,-1.5741052536023132,0.5599908828735352,-0.03052520751953125,0.5565288052734878,0.4771571159362793,-0.2991447448730469,0.4950557502851131,0.303436279296875,-0.22588539123535156,0.34160388999068364,-2.302567481994629,0.09157562255859375,-2.275467651481138,-0.02272176742553711,-0.0061054229736328125,-0.022445322963344207,-1.5492029190063477,0.05494499206542969,-1.5276995404678337,0.47773218154907227,0.0061054229736328125,0.48057442920675264,-0.05972862243652344,-0.018314361572265625,-0.06314021014277746,0.3007521629333496,-0.27472496032714844,0.3272089653255525,-0.13297510147094727,-0.0061054229736328125,-0.13040977968038892,0.26910522625558936,1.9872612820918057e-05,0.2650321786204785,0.02016341738006913,0.005809691367537494,0.01964357861211752,0.10478830337524414,-0.04273414611816406,0.10594682679140008,0.816162109375,-0.018314361572265625,0.8086642498933047,-0.5116710662841797,0.03052520751953125,-0.5054448199338935,-0.9179782867431641,0.0061054229736328125,-0.9100798032491767,0.32050132751464844,0.0061054229736328125,0.3166012506757157,0.5464639663696289,-0.021978378295898438,0.5401909802383478,-1.534104347229004,0.10988998413085938,-1.5271180146511127,0.16039466857910156,-0.0061054229736328125,0.16087649214613747,0.12741422653198242,-0.11599540710449219,0.127407975868614,-0.37610769271850586,0.07936477661132812,-0.37323576735872666,-0.9737763404846191,0.0061054229736328125,-0.9655775611710261,-1.143662452697754,0.04273414611816406,-1.1305032374598318,-0.02155303955078125,0.0073261260986328125,-0.021290918785980516,1.542496681213379,-0.0073261260986328125,1.5290027629816743,0.015100479125976562,0.0030689239501953125,0.014916728420235443,0.0,0.0,1.8268058488195534e-23,0.06268749386072159,-0.049581702798604965,-0.07794320583343506,0.08115579187870026,-0.049581702798604965,-0.07794320583343506,0.08115579187870026
0.0801,1786562720.7524,ramp,0,0.007846,-0.047367307720907185,-0.1389981670374239,0.05593889974878737,0.002802752424031496,0.3755173981189728,0.0005832903552800417,0.9268109202384949,-2.282243251800537,0.09157562255859375,-2.2509567685363088,0.14543867111206055,0.018314361572265625,0.14254257449651087,-1.598097324371338,0.0061054229736328125,-1.56796434798179,0.5586485862731934,-0.018314361572265625,0.5559181878297302,0.47159671783447266,-0.2625160217285156,0.4923442026092542,0.29825878143310547,-0.20146560668945312,0.3402712515965202,-2.30084228515625,0.07936477661132812,-2.267370922396507,-0.02272176742553711,-0.03052520751953125,-0.022357774355503783,-1.5482439994812012,0.09157562255859375,-1.5217397232788563,0.4765815734863281,-0.04273414611816406,0.4802601166728184,-0.05953693389892578,-0.05494499206542969,-0.06367413086289997,0.2963414192199707,-0.1770458221435547,0.3259324512861351,-0.13316679000854492,-0.0061054229736328125,-0.12990103994708807,0.2702816254579046,0.02349341671564418,0.2639982652210912,0.020716699825563692,0.03498637927915749,0.019566952420932537,0.10344600677490234,-0.06715583801269531,0.10631372548573607,0.816162109375,-0.0061054229736328125,0.8062897145012824,-0.5110955238342285,0.05494499206542969,-0.5034729981953965,-0.9195122718811035,-0.018314361572265625,-0.9076998058366086,0.32050132751464844,0.0061054229736328125,0.3153661154336829,0.5457010269165039,-0.05128288269042969,0.5380835466451104,-1.5310516357421875,0.16849899291992188,-1.5211603798829993,0.1588606834411621,0.0061054229736328125,0.16102908331104665,0.12492179870605469,-0.11599540710449219,0.12613070002781174,-0.3751487731933594,0.07936477661132812,-0.37177973025182465,-0.9739680290222168,0.0061054229736328125,-0.9629810478996006,-1.1432790756225586,0.0061054229736328125,-1.1260929511292472,-0.02117156982421875,0.0073261260986328125,-0.021207906422982415,1.542496681213379,-0.0073261260986328125,1.5230379708084778,0.015100479125976562,0.0030689239501953125,0.014858535471280273,0.0,0.0,2.4053463179981406e-23,0.061961762607097626,-0.08634728193283081,-0.1535150706768036,0.07921575754880905,-0.08634728193283081,-0.1535150706768036,0.07921575754880905
0.1009,1786562720.7728,ramp,0,0.007732,-0.018237878502432053,-0.1400214034625028,0.03316809220563428,0.0025844930205494165,0.3742274343967438,0.0010330938966944814,0.9273327589035034,-2.2801342010498047,0.128204345703125,-2.242305571414822,0.14582204818725586,0.0061054229736328125,0.14194130986728604,-1.5979056358337402,0.04273414611816406,-1.5613503964456892,0.5574984550476074,-0.0061054229736328125,0.555260533335479,0.4677615165710449,-0.15262603759765625,0.48942377913685614,0.2936573028564453,-0.10378456115722656,0.3388359574723626,-2.298924446105957,0.10378456115722656,-2.258650486507097,-0.02329730987548828,-0.018314361572265625,-0.022263481707954457,-1.5463266372680664,0.07936477661132812,-1.5153208097687416,0.47600650787353516,-0.018314361572265625,0.47992159203246526,-0.059920310974121094,-0.04273414611816406,-0.06424918053557499,0.29250669479370117,-0.06715583801269531,0.3245576048850371,-0.13335847854614258,-0.0061054229736328125,-0.12935311100167401,0.27175073332135447,0.04672145489755502,0.2628847074596401,0.021089458123527263,-0.005572527079112691,0.0194844235650583,0.10172033309936523,-0.10378456115722656,0.10670888710080581,0.816162109375,-0.0061054229736328125,0.8037322640250688,-0.5103287696838379,0.05494499206542969,-0.5013492831894755,-0.92047119140625,-0.05494499206542969,-0.9051364725897724,0.32050132751464844,0.0061054229736328125,0.3140358353192918,0.5445566177368164,-0.0659332275390625,0.535813773339258,-1.5295257568359375,0.08058547973632812,-1.5147438169098766,0.15771007537841797,-0.03052520751953125,0.161193428870466,0.12281274795532227,-0.07936477661132812,0.12475503314228505,-0.37399816513061523,0.06715583801269531,-0.37021153177184324,-0.9741597175598145,-0.0061054229736328125,-0.960184520155768,-1.143087387084961,0.03052520751953125,-1.1213429318563037,-0.02079010009765625,0.0073261260986328125,-0.021118499456047164,1.542496681213379,-0.0073261260986328125,1.5166136990814238,0.015100479125976562,0.0030689239501953125,0.014795859806172188,0.0,0.0,3.028452885868501e-23,0.060938965529203415,-0.028974711894989014,-0.18520301580429077,0.03860443830490112,-0.028974711894989014,-0.18520301580429077,0.03860443830490112
0.1209,1786562720.7928,ramp,0,0.008033,0.009129994490631758,-0.13341508283866818,0.041277711088764386,0.0025888450909405947,0.37310048937797546,0.0013306086184456944,0.9277864098548889,-2.277449607849121,0.11599540710449219,-2.2339676464256293,0.14601373672485352,-0.0061054229736328125,0.14136181788406904,-1.5971388816833496,0.05494499206542969,-1.5549759454863876,0.5571146011352539,-0.0061054229736328125,0.5546266934443205,0.4652690887451172,-0.07936477661132812,0.48660910834533566,0.29135608673095703,-0.03052520751953125,0.3374526373865292,-2.296624183654785,0.11599540710449219,-2.2502458299840846,-0.023488998413085938,-0.0061054229736328125,-0.02217260353106654,-1.5449838638305664,0.09157562255859375,-1.509134334231555,0.4754314422607422,-0.03052520751953125,0.47959532585003745,-0.06049537658691406,-0.03052520751953125,-0.06480340684304357,0.2905893325805664,-0.05494499206542969,0.32323254362437687,-0.13335847854614258,-0.0061054229736328125,-0.12882502334142135,0.27321699197415367,0.05125611787590911,0.2618114732059605,0.02054898347063723,-0.04626715063535317,0.01940488319624457,0.09980297088623047,-0.10378456115722656,0.1070897393526724,0.8163537979125977,-0.018314361572265625,0.8012674224621266,-0.5086030960083008,0.09157562255859375,-0.49930247091955127,-0.921046257019043,-0.0061054229736328125,-0.9026659612796852,0.3201179504394531,0.0061054229736328125,0.31275372653681355,0.5437936782836914,-0.05128288269042969,0.5336261917478424,-1.52685546875,0.10988998413085938,-1.5085596067933997,0.1575183868408203,-0.018314361572265625,0.16135182324381142,0.12166213989257812,-0.05494499206542969,0.12342918110810237,-0.3732314109802246,0.03052520751953125,-0.36870011998563196,-0.9741597175598145,0.0061054229736328125,-0.9574892586525523,-1.142320156097412,0.04273414611816406,-1.1167649175261642,-0.02079010009765625,0.0073261260986328125,-0.021032330042340713,1.542496681213379,-0.0073261260986328125,1.5104220593559423,0.015100479125976562,-0.0030689239501953125,0.01473545371589584,0.0,0.0,3.628995880117589e-23,0.06094955652952194,0.03850877657532692,-0.19231906533241272,0.02825615555047989,0.03850877657532692,-0.19231906533241272,0.02825615555047989
0.1403,1786562720.8122,ramp,0,0.008780,0.02088142374660718,-0.16928168751725792,0.041716820579437215,0.00278830761089921,0.3718492090702057,0.001579833566211164,0.9282876253128052,-2.2749571800231934,0.15262603759765625,-2.2258723091080808,0.14620542526245117,-0.0061054229736328125,0.14079918592431437,-1.5956048965454102,0.07936477661132812,-1.548786955924044,0.5569229125976562,-0.0061054229736328125,0.5540112948012652,0.46411848068237305,-0.04273414611816406,0.4838763289638056,0.29001379013061523,-0.018314361572265625,0.3361095642925068,-2.2945146560668945,0.14041519165039062,-2.2420857026526315,-0.023488998413085938,-0.0061054229736328125,-0.02208436940834834,-1.542874813079834,0.128204345703125,-1.503127851042368,0.474855899810791,-0.0061054229736328125,0.4792785522156517,-0.06068754196166992,-0.018314361572265625,-0.0653415082189894,0.2898221015930176,-0.0061054229736328125,0.32194603434474617,-0.13355016708374023,-0.0061054229736328125,-0.12831230012209263,0.27519545354806707,0.1166630625441134,0.2607694641550822,0.01955374884563758,-0.057640610718162046,0.019327657013861785,0.0978856086730957,-0.10378456115722656,0.10745951090266886,0.8159704208374023,-0.018314361572265625,0.7988742942063323,-0.5059185028076172,0.15262603759765625,-0.4973152096078686,-0.9212379455566406,-0.0061054229736328125,-0.9002673282351451,0.3201179504394531,0.0061054229736328125,0.3115089200549363,0.5430307388305664,-0.08058547973632812,0.5315022567262246,-1.524566650390625,0.10988998413085938,-1.5025553231136635,0.15655994415283203,-0.06715583801269531,0.1615056092137134,0.12051153182983398,-0.04273414611816406,0.12214190406210125,-0.372464656829834,0.04273414611816406,-0.36723268195387243,-0.9741597175598145,0.0061054229736328125,-0.9548724144070336,-1.1415534019470215,0.05494499206542969,-1.11232009818621,-0.02079010009765625,0.0073261260986328125,-0.020948667683742705,1.542496681213379,-0.0073261260986328125,1.5044105622278825,0.015004396438598633,-0.0030689239501953125,0.014676805109983076,0.0,0.0,4.212066382483405e-23,0.061659667640924454,0.047057099640369415,-0.29562631249427795,0.021722327917814255,0.047057099640369415,-0.29562631249427795,0.021722327917814255
0.1610,1786562720.8328,ramp,0,0.009773,0.03457000517058721,-0.17955573023910645,0.0445740761787128,0.00309554859995842,0.37036335468292236,0.0018109770026057959,0.9288800358772278,-2.271122455596924,0.1892547607421875,-2.2172535130086666,0.14620542526245117,-0.0061054229736328125,0.1402001731902029,-1.5936875343322754,0.10378456115722656,-1.5421977753863025,0.5565395355224609,-0.0061054229736328125,0.553356103397091,0.46316003799438477,-0.03052520751953125,0.4809668432499696,0.28943872451782227,0.0061054229736328125,0.3346796457245806,-2.2916383743286133,0.15262603759765625,-2.233397927102798,-0.023488998413085938,0.0061054229736328125,-0.021990429911711146,-1.5403823852539062,0.15262603759765625,-1.4967329780616039,0.47466421127319336,-0.018314361572265625,0.4789412954396403,-0.061070919036865234,-0.018314361572265625,-0.06591440417849909,0.28943872451782227,0.0061054229736328125,0.3205763371071641,-0.13355016708374023,-0.0061054229736328125,-0.127766423315545,0.27871414782215853,0.1773820942827853,0.2596600769620622,0.018106612071156585,-0.07496765758161941,0.019245437250387496,0.09539318084716797,-0.14041519165039062,0.10785319253294207,0.8157782554626465,-0.04273414611816406,0.7963264220587781,-0.5032343864440918,0.10378456115722656,-0.49519944847651726,-0.9212379455566406,-0.018314361572265625,-0.8977135953495007,0.3201179504394531,0.0061054229736328125,0.3101836221915265,0.5411233901977539,-0.08058547973632812,0.5292409843219177,-1.52227783203125,0.09523773193359375,-1.4961627918665086,0.15502595901489258,-0.07936477661132812,0.16166933925553176,0.1195530891418457,-0.04273414611816406,0.12077138941302175,-0.3718891143798828,0.04273414611816406,-0.3656703567920976,-0.9741597175598145,-0.0061054229736328125,-0.9520863603994807,-1.140594482421875,0.05494499206542969,-1.1075878689921588,-0.02079010009765625,0.0073261260986328125,-0.020859595569553073,1.542496681213379,-0.0073261260986328125,1.4980103510981193,0.014908552169799805,-0.0030689239501953125,0.014614364181822954,0.0,0.0,4.8328392514014777e-23,0.062496114522218704,0.06800735741853714,-0.3700661361217499,0.015690883621573448,0.06800735741853714,-0.3700661361217499,0.015690883621573448
0.1808,1786562720.8528,ramp,0,0.011010,0.046342182115930025,-0.18904225958186177,0.04290667102021418,0.0035031591542065144,0.36875617504119873,0.002038555685430765,0.9295173287391663,-2.267479419708252,0.1892547607421875,-2.208982484405674,0.14620542526245117,-0.0061054229736328125,0.13962533055554194,-1.591578483581543,0.10378456115722656,-1.5358744675751754,0.5565395355224609,-0.018314361572265625,0.5527273488956671,0.4625844955444336,-0.018314361572265625,0.478174754972029,0.2892470359802246,0.0061054229736328125,0.3333074242172089,-2.288762092590332,0.16483497619628906,-2.225060702362798,-0.023488998413085938,0.0061054229736328125,-0.021900280863668374,-1.5376977920532227,0.15262603759765625,-1.4905961375184105,0.47428083419799805,-0.0061054229736328125,0.4786176469382989,-0.06145429611206055,-0.018314361572265625,-0.06646418384760681,0.2892470359802246,0.0061054229736328125,0.3192619070059287,-0.13355016708374023,-0.0061054229736328125,-0.12724257257948074,0.2831870794371797,0.22874601408052955,0.2585954534230641,0.016751478470573483,-0.09243431432145002,0.019166535045533933,0.09251689910888672,-0.15262603759765625,0.10823098915173937,0.8155865669250488,-0.06715583801269531,0.7938813562785793,-0.5011253356933594,0.128204345703125,-0.49316905807945294,-0.9212379455566406,-0.0061054229736328125,-0.895262905311364,0.3201179504394531,0.0061054229736328125,0.30891179995448664,0.5392160415649414,-0.09523773193359375,0.5270709540161247,-1.5203704833984375,0.10988998413085938,-1.4900281985682249,0.15330028533935547,-0.10378456115722656,0.1618264628077574,0.11878585815429688,-0.03052520751953125,0.119456174882755,-0.37169742584228516,0.05494499206542969,-0.3641710712827105,-0.9743514060974121,-0.018314361572265625,-0.9494127233717385,-1.139444351196289,0.05494499206542969,-1.1030465847375543,-0.02079010009765625,0.0073261260986328125,-0.02077411750559916,1.5421152114868164,-0.0073261260986328125,1.4918683877996655,0.014908552169799805,0.0030689239501953125,0.014554442738404094,0.0,0.0,5.428564001767908e-23,0.06325913220643997,0.08734384179115295,-0.4339749813079834,0.005480329040437937,0.08734384179115295,-0.4339749813079834,0.005480329040437937
