t_s,phase,frame,adapt_on,drift,drift_frac,err_masked_deg,err_leg_deg,err_all_deg,act_dev_max,dev_clamped,loop_ms
1.2602,ramp,0,0,0.000000,0.000000,nan,nan,nan,0.0000,0,7.89
1.2803,ramp,0,0,0.000000,0.000000,nan,nan,nan,0.0000,0,9.10
1.3011,ramp,0,0,0.000000,0.000000,nan,nan,nan,0.0000,0,9.49
1.3210,ramp,0,0,0.000000,0.000000,nan,nan,nan,0.0000,0,9.03
1.3413,ramp,0,0,0.000000,0.000000,nan,nan,nan,0.0000,0,9.74
1.3610,ramp,0,0,0.000000,0.000000,nan,nan,nan,0.0000,0,8.10
1.3802,ramp,0,0,0.000000,0.000000,nan,nan,nan,0.0000,0,8.04
1.4012,ramp,0,0,0.000000,0.000000,nan,nan,nan,0.0000,0,9.24
1.4212,ramp,0,0,0.000000,0.000000,nan,nan,nan,0.0000,0,9.67
1.4402,ramp,0,0,0.000000,0.000000,nan,nan,nan,0.0000,0,9.35
1.4610,ramp,0,0,0.000000,0.000000,nan,nan,nan,0.0000,0,8.68
1.4802,ramp,0,0,0.000000,0.000000,nan,nan,nan,0.0000,0,8.27
1.5002,ramp,0,0,0.000000,0.000000,nan,nan,nan,0.0000,0,7.94
1.5201,ramp,0,0,0.000000,0.000000,nan,nan,nan,0.0000,0,9.46
1.5412,ramp,0,0,0.000000,0.000000,nan,nan,nan,0.0000,0,9.52
1.5601,ramp,0,0,0.000000,0.000000,nan,nan,nan,0.0000,0,7.13
1.5804,ramp,0,0,0.000000,0.000000,nan,nan,nan,0.0000,0,9.17
1.6008,ramp,0,0,0.000000,0.000000,nan,nan,nan,0.0000,0,9.05
1.6211,ramp,0,0,0.000000,0.000000,nan,nan,nan,0.0000,0,8.06
1.6411,ramp,0,0,0.000000,0.000000,nan,nan,nan,0.0000,0,9.43
1.6613,ramp,0,0,0.000000,0.000000,nan,nan,nan,0.0000,0,8.74
1.6810,ramp,0,0,0.000000,0.000000,nan,nan,nan,0.0000,0,7.82
1.7011,ramp,0,0,0.000000,0.000000,nan,nan,nan,0.0000,0,8.70
1.7212,ramp,0,0,0.000000,0.000000,nan,nan,nan,0.0000,0,8.95
1.7403,ramp,0,0,0.000000,0.000000,nan,nan,nan,0.0000,0,9.33
1.7609,ramp,0,0,0.000000,0.000000,nan,nan,nan,0.0000,0,8.66
1.7812,ramp,0,0,0.000000,0.000000,nan,nan,nan,0.0000,0,9.09
1.8009,ramp,0,0,0.000000,0.000000,nan,nan,nan,0.0000,0,8.10
1.8201,ramp,0,0,0.000000,0.000000,nan,nan,nan,0.0000,0,8.83
1.8402,ramp,0,0,0.000000,0.000000,nan,nan,nan,0.0000,0,7.81
1.8601,ramp,0,0,0.000000,0.000000,nan,nan,nan,0.0000,0,9.84
1.8809,ramp,0,0,0.000000,0.000000,nan,nan,nan,0.0000,0,8.98
1.9003,ramp,0,0,0.000000,0.000000,nan,nan,nan,0.0000,0,8.21
1.9203,ramp,0,0,0.000000,0.000000,nan,nan,nan,0.0000,0,8.87
1.9401,ramp,0,0,0.000000,0.000000,nan,nan,nan,0.0000,0,9.45
1.9609,ramp,0,0,0.000000,0.000000,nan,nan,nan,0.0000,0,9.06
1.9801,ramp,0,0,0.000000,0.000000,nan,nan,nan,0.0000,0,9.15
2.0011,ramp,0,0,0.000000,0.000000,nan,nan,nan,0.0000,0,9.46
2.0203,ramp,0,0,0.000000,0.000000,nan,nan,nan,0.0000,0,9.06
2.0401,ramp,0,0,0.000000,0.000000,nan,nan,nan,0.0000,0,11.04
2.0601,ramp,0,0,0.000000,0.000000,nan,nan,nan,0.0000,0,8.92
2.0812,ramp,0,0,0.000000,0.000000,nan,nan,nan,0.0000,0,9.00
2.1009,ramp,0,0,0.000000,0.000000,nan,nan,nan,0.0000,0,10.11
2.1211,ramp,0,0,0.000000,0.000000,nan,nan,nan,0.0000,0,9.16
2.1402,ramp,0,0,0.000000,0.000000,nan,nan,nan,0.0000,0,9.67
2.1609,ramp,0,0,0.000000,0.000000,nan,nan,nan,0.0000,0,8.89
2.1804,ramp,0,0,0.000000,0.000000,nan,nan,nan,0.0000,0,10.04
2.2001,ramp,0,0,0.000000,0.000000,nan,nan,nan,0.0000,0,9.22
2.2202,ramp,0,0,0.000000,0.000000,nan,nan,nan,0.0000,0,7.88
2.2405,ramp,0,0,0.000000,0.000000,nan,nan,nan,0.0000,0,9.92
2.2611,ramp,0,0,0.000000,0.000000,nan,nan,nan,0.0000,0,7.52
2.2801,ramp,0,0,0.000000,0.000000,nan,nan,nan,0.0000,0,9.15
2.3011,ramp,0,0,0.000000,0.000000,nan,nan,nan,0.0000,0,9.57
2.3211,ramp,0,0,0.000000,0.000000,nan,nan,nan,0.0000,0,8.27
2.3405,ramp,0,0,0.000000,0.000000,nan,nan,nan,0.0000,0,8.19
2.3610,ramp,0,0,0.000000,0.000000,nan,nan,nan,0.0000,0,9.52
2.3812,ramp,0,0,0.000000,0.000000,nan,nan,nan,0.0000,0,9.96
2.4009,ramp,0,0,0.000000,0.000000,nan,nan,nan,0.0000,0,8.11
2.4203,ramp,0,0,0.000000,0.000000,nan,nan,nan,0.0000,0,9.10
2.4412,ramp,0,0,0.000000,0.000000,nan,nan,nan,0.0000,0,9.08
2.4610,ramp,0,0,0.000000,0.000000,nan,nan,nan,0.0000,0,8.93
2.4801,ramp,0,0,0.000000,0.000000,nan,nan,nan,0.0000,0,9.00
2.5010,ramp,0,0,0.000000,0.000000,nan,nan,nan,0.0000,0,9.33
2.5202,ramp,0,0,0.000000,0.000000,nan,nan,nan,0.0000,0,9.70
2.5405,ramp,0,0,0.000000,0.000000,nan,nan,nan,0.0000,0,9.27
2.5611,ramp,0,0,0.000000,0.000000,nan,nan,nan,0.0000,0,8.61
2.5810,ramp,0,0,0.000000,0.000000,nan,nan,nan,0.0000,0,9.05
2.6010,ramp,0,0,0.000000,0.000000,nan,nan,nan,0.0000,0,8.22
2.6212,ramp,0,0,0.000000,0.000000,nan,nan,nan,0.0000,0,11.04
