t_s,wall_time,phase,frame,roll,base_ang_vel_x,base_ang_vel_y,base_ang_vel_z,base_quat_x,base_quat_y,base_quat_z,base_quat_w,left_hip_pitch_joint__pos_meas,left_hip_pitch_joint__vel_meas,left_hip_pitch_joint__tgt,left_hip_roll_joint__pos_meas,left_hip_roll_joint__vel_meas,left_hip_roll_joint__tgt,left_hip_yaw_joint__pos_meas,left_hip_yaw_joint__vel_meas,left_hip_yaw_joint__tgt,left_knee_joint__pos_meas,left_knee_joint__vel_meas,left_knee_joint__tgt,left_ankle_pitch_joint__pos_meas,left_ankle_pitch_joint__vel_meas,left_ankle_pitch_joint__tgt,left_ankle_roll_joint__pos_meas,left_ankle_roll_joint__vel_meas,left_ankle_roll_joint__tgt,right_hip_pitch_joint__pos_meas,right_hip_pitch_joint__vel_meas,right_hip_pitch_joint__tgt,right_hip_roll_joint__pos_meas,right_hip_roll_joint__vel_meas,right_hip_roll_joint__tgt,right_hip_yaw_joint__pos_meas,right_hip_yaw_joint__vel_meas,right_hip_yaw_joint__tgt,right_knee_joint__pos_meas,right_knee_joint__vel_meas,right_knee_joint__tgt,right_ankle_pitch_joint__pos_meas,right_ankle_pitch_joint__vel_meas,right_ankle_pitch_joint__tgt,right_ankle_roll_joint__pos_meas,right_ankle_roll_joint__vel_meas,right_ankle_roll_joint__tgt,waist_yaw_joint__pos_meas,waist_yaw_joint__vel_meas,waist_yaw_joint__tgt,waist_pitch_joint__pos_meas,waist_pitch_joint__vel_meas,waist_pitch_joint__tgt,waist_roll_joint__pos_meas,waist_roll_joint__vel_meas,waist_roll_joint__tgt,left_shoulder_pitch_joint__pos_meas,left_shoulder_pitch_joint__vel_meas,left_shoulder_pitch_joint__tgt,left_shoulder_roll_joint__pos_meas,left_shoulder_roll_joint__vel_meas,left_shoulder_roll_joint__tgt,left_shoulder_yaw_joint__pos_meas,left_shoulder_yaw_joint__vel_meas,left_shoulder_yaw_joint__tgt,left_elbow_joint__pos_meas,left_elbow_joint__vel_meas,left_elbow_joint__tgt,left_wrist_yaw_joint__pos_meas,left_wrist_yaw_joint__vel_meas,left_wrist_yaw_joint__tgt,left_wrist_pitch_joint__pos_meas,left_wrist_pitch_joint__vel_meas,left_wrist_pitch_joint__tgt,left_wrist_roll_joint__pos_meas,left_wrist_roll_joint__vel_meas,left_wrist_roll_joint__tgt,right_shoulder_pitch_joint__pos_meas,right_shoulder_pitch_joint__vel_meas,right_shoulder_pitch_joint__tgt,right_shoulder_roll_joint__pos_meas,right_shoulder_roll_joint__vel_meas,right_shoulder_roll_joint__tgt,right_shoulder_yaw_joint__pos_meas,right_shoulder_yaw_joint__vel_meas,right_shoulder_yaw_joint__tgt,right_elbow_joint__pos_meas,right_elbow_joint__vel_meas,right_elbow_joint__tgt,right_wrist_yaw_joint__pos_meas,right_wrist_yaw_joint__vel_meas,right_wrist_yaw_joint__tgt,right_wrist_pitch_joint__pos_meas,right_wrist_pitch_joint__vel_meas,right_wrist_pitch_joint__tgt,right_wrist_roll_joint__pos_meas,right_wrist_roll_joint__vel_meas,right_wrist_roll_joint__tgt,head_yaw_joint__pos_meas,head_yaw_joint__vel_meas,head_yaw_joint__tgt,head_pitch_joint__pos_meas,head_pitch_joint__vel_meas,head_pitch_joint__tgt,cmd_sin,cmd_cos,cmd_height,pelvis_roll,proj_g_x,proj_g_y,proj_g_z
0.0001,1788395504.7573,ramp,0,0.003517,-0.0043099904683394094,0.016007561192382853,-0.0016120746058859872,-0.00047171374899335206,0.004376215394586325,0.4954225718975067,0.8686408996582031,-0.19184064865112305,-0.0061054229736328125,-0.19184079518904698,0.004122257232666016,-0.0061054229736328125,0.004122183198987307,-0.011600494384765625,0.0061054229736328125,-0.011600286045686897,0.4422593116760254,-0.0061054229736328125,0.442258552720025,-0.2610602378845215,-0.0061054229736328125,-0.26125130319679546,0.011408805847167969,0.0061054229736328125,0.011408600950719529,-0.19625091552734375,0.0061054229736328125,-0.1962509828590798,0.001438140869140625,-0.0061054229736328125,0.0016298001358170755,0.008532524108886719,0.0061054229736328125,0.008532370869020114,0.4409174919128418,0.0061054229736328125,0.4409167570552534,-0.26201915740966797,-0.018314361572265625,-0.26240141376659964,0.006998538970947266,0.0061054229736328125,0.006806728185719354,0.0004792213439941406,-0.0061054229736328125,0.0006708978323857885,0.0014255125572004142,7.196722386792416e-07,0.0012115898731474698,0.000554809436695155,0.005047047967956165,0.0007925554323892797,0.1814866065979004,-0.0061054229736328125,0.18148693908924243,0.06816530227661133,-0.0061054229736328125,0.06816587401189136,-0.003738880157470703,0.0061054229736328125,-0.0037388130090525713,-0.30056047439575195,-0.0061054229736328125,-0.3005604643301262,0.008340835571289062,0.0061054229736328125,0.008340685774052746,-0.01468658447265625,-0.0073261260986328125,-0.014686320708942635,0.00858306884765625,-0.0073261260986328125,0.00858291470003141,0.1872386932373047,0.0061054229736328125,0.18704723732907944,-0.06893205642700195,-0.0061054229736328125,-0.06893261439176084,9.584426879882812e-05,0.0061054229736328125,9.584254748368407e-05,-0.298642635345459,0.0061054229736328125,-0.29902650674179276,0.007381916046142578,0.0061054229736328125,0.007381783470621459,-0.01506805419921875,0.0073261260986328125,-0.015067783584499585,0.02613067626953125,-0.0073261260986328125,0.02613020697565118,4.792213439941406e-05,0.0030689239501953125,0.0001437638212255261,0.0,0.0,0.0,0.0,1.0,0.6899999976158142,0.002958748722448945,0.006646066438406706,-0.0029586791060864925,-0.9999735355377197
0.0213,1788395504.7780,ramp,0,0.003468,-0.00996125965330526,-0.061851907994711894,-0.003242860519173033,-0.0005497927777469158,0.004463496617972851,0.4954386055469513,0.8686313629150391,-0.1929912567138672,-0.03052520751953125,-0.19188409501397963,0.004122257232666016,-0.03052520751953125,0.004100307323850364,-0.011792182922363281,-0.07936477661132812,-0.011538724878499903,0.4470529556274414,0.5433464050292969,0.44203429226197266,-0.2648959159851074,-0.20146560668945312,-0.26092625073531284,0.011600494384765625,0.03052520751953125,0.011348057030704895,-0.1974010467529297,-0.03052520751953125,-0.19627087840765134,0.001438140869140625,0.0061054229736328125,0.0016211510043864135,0.008724212646484375,0.03052520751953125,0.008487090717522084,0.4453272819519043,0.5067157745361328,0.4406996173274076,-0.26566219329833984,-0.11599540710449219,-0.26207025782208293,0.007573604583740234,0.018314361572265625,0.006770605789238167,0.0004792213439941406,0.0061054229736328125,0.0006673374672825289,0.0014967588752520548,0.009080774509403448,0.0012051601276697166,0.0004756048997179443,0.025237418232853172,0.0007883494466673658,0.18129491806030273,-0.10378456115722656,0.18158518544427613,0.06797361373901367,-0.03052520751953125,0.06833481347047203,-0.003547191619873047,0.03052520751953125,-0.0037189716282603476,-0.30056047439575195,0.0061054229736328125,-0.30055749008411814,0.008340835571289062,0.018314361572265625,0.008296422869727076,-0.01506805419921875,-0.021978378295898438,-0.014608382368373767,0.00858306884765625,-0.0073261260986328125,0.008537366319179474,0.18704700469970703,-0.0061054229736328125,0.1871159759247179,-0.06778192520141602,-0.0061054229736328125,-0.06909748486165207,-0.0002875328063964844,-0.018314361572265625,9.533392389750413e-05,-0.298642635345459,0.0061054229736328125,-0.29903167300362926,0.007381916046142578,0.0061054229736328125,0.007342609332623191,-0.01506805419921875,-0.0073261260986328125,-0.01498782087144841,0.02651214599609375,0.0073261260986328125,0.025991537460613067,4.792213439941406e-05,0.0030689239501953125,0.0001430008858462562,0.0,0.0,0.0,0.0,1.0,0.6899999976158142,0.0029888697899878025,0.0068037668243050575,-0.002988796215504408,-0.999972403049469
0.0409,1788395504.7977,ramp,0,0.003368,0.002542562284813657,-0.34924691206347763,0.008989830033806826,0.0005088977050036192,0.002506206277757883,0.4954761564731598,0.8686177730560303,-0.1937580108642578,-0.0061054229736328125,-0.19192397964120553,0.004122257232666016,-0.0061054229736328125,0.004080156869975882,-0.012175559997558594,0.0061054229736328125,-0.011482019240343928,0.46143388748168945,0.8485965728759766,0.4418277199540047,-0.27314043045043945,-0.4456653594970703,-0.2606268362163101,0.011600494384765625,0.0061054229736328125,0.01129228840613568,-0.19797658920288086,0.0061054229736328125,-0.19628920472974307,0.001438140869140625,-0.0061054229736328125,0.0016131840580193828,0.009107589721679688,0.0061054229736328125,0.008445381958513411,0.4595165252685547,0.7997550964355469,0.44049960411454697,-0.27409934997558594,-0.4945049285888672,-0.2617652212215596,0.007573604583740234,0.018314361572265625,0.006737332483389903,0.0002875328063964844,-0.0061054229736328125,0.0006640579197288683,0.0033501001266999283,-0.009079562624705316,0.001199237517083257,0.0003175689114922391,0.015159855382316316,0.0007844752006883773,0.17803525924682617,-0.14041519165039062,0.1816756827904645,0.06663131713867188,-0.14041519165039062,0.0684904281257212,-0.002972126007080078,0.0061054229736328125,-0.003700695201559386,-0.3003687858581543,0.0061054229736328125,-0.30055475042654467,0.008340835571289062,0.0061054229736328125,0.008255651124305163,-0.01506805419921875,-0.0073261260986328125,-0.014536591277646867,0.00858306884765625,-0.0073261260986328125,0.00849541048693648,0.18474626541137695,-0.128204345703125,0.1871792928842515,-0.06643962860107422,0.128204345703125,-0.06924935146255419,-0.0004792213439941406,0.0061054229736328125,9.486541710412403e-05,-0.29825925827026367,0.0061054229736328125,-0.29903643178562944,0.007381916046142578,0.0061054229736328125,0.0073065249860146475,-0.01506805419921875,0.0073261260986328125,-0.014914165077066267,0.02651214599609375,-0.0073261260986328125,0.025863805260228842,4.792213439941406e-05,0.0030689239501953125,0.00014229812565618604,0.0,0.0,0.0,0.0,1.0,0.6899999976158142,0.0030499023851007223,0.0005003791302442551,-0.0030498974956572056,-0.999995231628418
0.0609,1788395504.8177,ramp,0,0.003280,-0.0006270345817452826,-0.21760617694583162,-0.01003846843837694,0.0021519658621400595,-0.00046239071525633335,0.49547016620635986,0.8686221241950989,-0.1937580108642578,-0.0061054229736328125,-0.1919648131972601,0.004122257232666016,-0.0061054229736328125,0.004059526999646457,-0.01236724853515625,0.0061054229736328125,-0.011423964470491496,0.4761981964111328,0.6166057586669922,0.44161623290991275,-0.2827277183532715,-0.45787620544433594,-0.26032029807378243,0.011600494384765625,0.0061054229736328125,0.011235192943151083,-0.19797658920288086,0.0061054229736328125,-0.19630796706883097,0.001438140869140625,-0.0061054229736328125,0.0016050275633072977,0.009107589721679688,0.0061054229736328125,0.008402680871217316,0.47428083419799805,0.6898651123046875,0.44029483221852983,-0.2834949493408203,-0.4945049285888672,-0.26145292723782493,0.007573604583740234,0.018314361572265625,0.006703267544239811,0.0002875328063964844,-0.0061054229736328125,0.0006607003456914475,0.003777989794081523,0.040866408128339915,0.001193173996669701,0.00031747699390565214,-0.010102119613170242,0.0007805087792534713,0.1770763397216797,0.0061054229736328125,0.1817683332353951,0.06337165832519531,-0.23809432983398438,0.0686497451405709,-0.002972126007080078,-0.0061054229736328125,-0.0036819839449656294,-0.30017662048339844,0.03052520751953125,-0.3005519455874656,0.008340835571289062,0.0061054229736328125,0.008213909343876901,-0.01506805419921875,-0.0073261260986328125,-0.0144630921444894,0.00858306884765625,-0.0073261260986328125,0.008452456448078221,0.18417119979858398,0.06715583801269531,0.18724411627100843,-0.06279659271240234,0.23809432983398438,-0.06940483124993255,-0.0004792213439941406,0.0061054229736328125,9.43857636702068e-05,-0.2973008155822754,0.05494499206542969,-0.2990413037878285,0.007381916046142578,0.0061054229736328125,0.007269582126261052,-0.01506805419921875,0.0073261260986328125,-0.014838756875515098,0.02651214599609375,-0.0073261260986328125,0.02573303407526036,4.792213439941406e-05,0.0030689239501953125,0.00014157864550531018,0.0,0.0,0.0,0.0,1.0,0.6899999976158142,0.002964816289022565,-0.006712830625474453,-0.002964745042845607,-0.9999730587005615
0.0811,1788395504.8380,ramp,0,0.003246,-0.007756372930923066,-0.09194195814373003,0.01321404252813344,0.0034536137245595455,-0.002778502879664302,0.4955086410045624,0.8685917258262634,-0.19145727157592773,0.07936477661132812,-0.1920060669111066,0.003930568695068359,-0.0061054229736328125,0.004038684857803015,-0.01236724853515625,0.0061054229736328125,-0.011365312344781001,0.4846353530883789,0.40903472900390625,0.44140256976513137,-0.29039764404296875,-0.372406005859375,-0.26001060580015367,0.011600494384765625,0.0061054229736328125,0.01117750999511798,-0.19586706161499023,0.09157562255859375,-0.1963269224634282,0.001438140869140625,-0.0061054229736328125,0.0015967871421597114,0.009107589721679688,0.0061054229736328125,0.008359540410124598,0.4832925796508789,0.372406005859375,0.4400879533174902,-0.2915477752685547,-0.3846149444580078,-0.2611374198981318,0.007573604583740234,0.018314361572265625,0.006668852093133376,0.0002875328063964844,-0.0061054229736328125,0.0006573082238205717,0.0032075256175903974,-0.009080549130872344,0.0011870480855266882,1.9735056167637998e-07,0.015160388000314553,0.0007765015452361415,0.17937755584716797,0.09157562255859375,0.1818619370091593,0.0585780143737793,-0.23809432983398438,0.06881070145142246,-0.0033555030822753906,0.0061054229736328125,-0.003663080158476974,-0.2994098663330078,0.05494499206542969,-0.3005491118879319,0.008340835571289062,0.0061054229736328125,0.008171738060461578,-0.01506805419921875,-0.0073261260986328125,-0.014388836740350823,0.00858306884765625,-0.0073261260986328125,0.008409060432672559,0.18647193908691406,0.018314361572265625,0.187309606659459,-0.057619571685791016,0.2625160217285156,-0.06956191085007454,-0.0004792213439941406,0.018314361572265625,9.390117483151024e-05,-0.29576683044433594,0.05494499206542969,-0.29904622592060365,0.007381916046142578,0.018314361572265625,0.0072322591421224375,-0.01506805419921875,0.0073261260986328125,-0.014762572759580714,0.02651214599609375,-0.0073261260986328125,0.02560091731724757,4.792213439941406e-05,0.0030689239501953125,0.00014085176224726536,0.0,0.0,0.0,0.0,1.0,0.6899999976158142,0.0032493318431079388,-0.011455778032541275,-0.003249112982302904,-0.9999291300773621
0.1010,1788395504.8578,ramp,0,0.003238,0.0019324783723063893,-0.1517779613841712,-0.01585511290502993,0.003957202658057213,-0.0036697774194180965,0.4954606890678406,0.868613600730896,-0.1889643669128418,0.23809432983398438,-0.19204674283455517,0.003738880157470703,-0.0061054229736328125,0.004018134626391575,-0.01236724853515625,0.0061054229736328125,-0.011307481687779555,0.48885345458984375,0.16483497619628906,0.4411918991391307,-0.2959585189819336,-0.27472496032714844,-0.25970525100805925,0.011600494384765625,0.0061054229736328125,0.011120634941705593,-0.19318294525146484,0.21367454528808594,-0.19634561237295836,0.001438140869140625,-0.0061054229736328125,0.0015886621345293703,0.009107589721679688,0.0061054229736328125,0.008317004164794778,0.4877033233642578,0.20146560668945312,0.43988397191661294,-0.2973003387451172,-0.2625160217285156,-0.260826331484503,0.007573604583740234,0.0061054229736328125,0.006634918657228426,0.0002875328063964844,-0.0061054229736328125,0.0006539636112588719,-0.00021371188051663945,-0.0998234516333922,0.001181007972541158,-3.992544330534638e-09,0.005040893620032761,0.0007725504356527552,0.18167829513549805,0.04273414611816406,0.18195422978915707,0.053017616271972656,-0.2991447448730469,0.06896940344375979,-0.003547191619873047,0.0061054229736328125,-0.003644441134243649,-0.29787540435791016,0.03052520751953125,-0.3005463178765675,0.008340835571289062,0.0061054229736328125,0.008130157418720814,-0.01506805419921875,-0.0073261260986328125,-0.01431562134099023,0.00858306884765625,-0.0073261260986328125,0.008366272212267017,0.18915653228759766,0.09157562255859375,0.18737417980400403,-0.051867008209228516,0.28693580627441406,-0.06971679042805565,-0.0002875328063964844,0.018314361572265625,9.342337303698169e-05,-0.2942323684692383,0.06715583801269531,-0.2990510791150751,0.007381916046142578,0.0061054229736328125,0.007195458895450316,-0.01506805419921875,0.0073261260986328125,-0.014687455661535431,0.02651214599609375,-0.0073261260986328125,0.025470650957346252,0.0001437664031982422,0.0030689239501953125,0.00014013505955547253,0.0,0.0,0.0,0.0,1.0,0.6899999976158142,0.003241172293201089,-0.01008188258856535,-0.0032410018611699343,-0.9999439120292664
0.1202,1788395504.8769,ramp,0,0.003303,0.0004132401251099177,-0.17393557816692817,0.010189546654184693,0.004618807230144739,-0.004764128476381302,0.49548110365867615,0.8685933947563171,-0.18378734588623047,0.23809432983398438,-0.19208586259982657,0.003738880157470703,-0.0061054229736328125,0.0039983705949712366,-0.01236724853515625,0.0061054229736328125,-0.011251863485767523,0.49153804779052734,0.10378456115722656,0.4409892882396105,-0.30017662048339844,-0.20146560668945312,-0.2594115783196852,0.011600494384765625,0.0061054229736328125,0.01106593578430096,-0.18819761276245117,0.27472496032714844,-0.19636358725371772,0.001438140869140625,-0.0061054229736328125,0.0015808479691858514,0.009107589721679688,0.0061054229736328125,0.008276095248862383,0.4903874397277832,0.10378456115722656,0.4396877943293446,-0.30151891708374023,-0.21367454528808594,-0.2605271445284846,0.007573604583740234,0.0061054229736328125,0.00660228342894325,0.0002875328063964844,-0.0061054229736328125,0.0006507469551329704,-0.003561752417895569,-0.09976206911322195,0.001175198939034997,-7.893161078810906e-05,0.015090003534237758,0.000768750485550598,0.18167829513549805,-0.06715583801269531,0.18204299168031177,0.048032283782958984,-0.22588539123535156,0.06912203389838717,-0.003738880157470703,-0.018314361572265625,-0.0036265151920381105,-0.2976837158203125,-0.03052520751953125,-0.3005436307570266,0.008340835571289062,0.0061054229736328125,0.00809016754739582,-0.01506805419921875,-0.0073261260986328125,-0.014245206978035174,0.00858306884765625,-0.0073261260986328125,0.008325120961189387,0.18953990936279297,-0.03052520751953125,0.1874362825430023,-0.04688119888305664,0.20146560668945312,-0.06986574470425341,-0.0002875328063964844,0.018314361572265625,9.29638507332815e-05,-0.2936568260192871,0.0061054229736328125,-0.29905574663857404,0.007381916046142578,0.0061054229736328125,0.007160066533342939,-0.01506805419921875,0.0073261260986328125,-0.014615212354088036,0.02651214599609375,-0.0073261260986328125,0.025345368259621023,0.0001437664031982422,0.0030689239501953125,0.00013944577609992223,0.0,0.0,0.0,0.0,1.0,0.6899999976158142,0.0033844083081930876,-0.009290759451687336,-0.0033842558041214943,-0.9999511241912842
0.1411,1788395504.8979,ramp,0,0.003340,0.0019586534227292876,-0.06943422722379013,-0.02059048796167823,0.005196510814130306,-0.005739449057728052,0.4955080449581146,0.8685688972473145,-0.17995262145996094,0.11599540710449219,-0.1921285677771351,0.003738880157470703,-0.0061054229736328125,0.003976795146849769,-0.01236724853515625,0.0061054229736328125,-0.011191147753911068,0.4940309524536133,0.05494499206542969,0.44076810760806473,-0.303436279296875,-0.128204345703125,-0.2590909898871965,0.011600494384765625,0.0061054229736328125,0.011006223329500008,-0.18417119979858398,0.11599540710449219,-0.19638320957160746,0.001438140869140625,-0.0061054229736328125,0.0015723176185000012,0.009107589721679688,0.0061054229736328125,0.008231436941322124,0.49249696731567383,0.09157562255859375,0.4394736366371873,-0.30497026443481445,-0.14041519165039062,-0.2602005364336628,0.007381916046142578,0.0061054229736328125,0.006566657110616594,0.0002875328063964844,-0.0061054229736328125,0.0006472354854387074,-0.006622752430821749,-0.14955567282718601,0.0011688574949043698,0.00015750452683010617,0.020047675591417423,0.0007646022617115646,0.17861032485961914,-0.018314361572265625,0.1821398887929019,0.04304647445678711,-0.21367454528808594,0.06928865326796477,-0.003930568695068359,0.0061054229736328125,-0.0036069462980276505,-0.2976837158203125,-0.0061054229736328125,-0.3005406973571034,0.008340835571289062,0.0061054229736328125,0.008046512516911065,-0.01506805419921875,-0.0073261260986328125,-0.014168338984727922,0.00858306884765625,-0.0073261260986328125,0.008280198107957876,0.18704700469970703,0.018314361572265625,0.18750407713384062,-0.04285478591918945,0.15262603759765625,-0.070028350965609,-9.584426879882812e-05,0.0061054229736328125,9.246221220552962e-05,-0.2936568260192871,0.0061054229736328125,-0.29906084195080895,0.007381916046142578,0.0061054229736328125,0.007121430383849771,-0.01506805419921875,0.0073261260986328125,-0.01453634778952605,0.02651214599609375,-0.0073261260986328125,0.025208603128671757,0.0001437664031982422,0.0030689239501953125,0.00013869331830829444,0.0,0.0,0.0,0.0,1.0,0.6899999976158142,0.0031842465978115797,-0.008496877737343311,-0.0031841262243688107,-0.9999588131904602
0.1610,1788395504.9177,ramp,0,0.003394,0.0006389197833513182,0.011223098667298429,0.013251478666800468,0.005275625269860029,-0.0058242022059857845,0.4954547584056854,0.868598222732544,-0.17841863632202148,0.03052520751953125,-0.19216909807650723,0.003738880157470703,-0.0061054229736328125,0.003956318487424307,-0.01236724853515625,0.0061054229736328125,-0.011133524136733202,0.4951810836791992,0.0061054229736328125,0.440558191205023,-0.3055453300476074,-0.06715583801269531,-0.25878672829731625,0.011600494384765625,0.0061054229736328125,0.010949551894750024,-0.18263721466064453,0.05494499206542969,-0.1964018325692993,0.001438140869140625,-0.0061054229736328125,0.0015642216992500036,0.009107589721679688,0.0061054229736328125,0.008189052980216374,0.49364709854125977,0.018314361572265625,0.4392703855111407,-0.3070793151855469,-0.09157562255859375,-0.2598905617492153,0.007381916046142578,0.0061054229736328125,0.006532845159974781,0.0002875328063964844,-0.0061054229736328125,0.000643902846941122,-0.009682170126920131,-0.17211719765637692,0.0011628390061574662,0.00023591841666346263,-0.005035121275415778,0.0007606652975153051,0.17592620849609375,-0.128204345703125,0.18223185115505766,0.03921175003051758,-0.1892547607421875,0.06944678709050776,-0.004122257232666016,0.0061054229736328125,-0.0035883740034579515,-0.298642635345459,-0.06715583801269531,-0.30053791334859303,0.008340835571289062,0.0061054229736328125,0.008005080738233195,-0.01506805419921875,-0.0073261260986328125,-0.014095385704183765,0.00858306884765625,-0.0073261260986328125,0.00823756307387363,0.1845545768737793,-0.10378456115722656,0.1875684190997488,-0.039403438568115234,0.11599540710449219,-0.07018267605844047,-9.584426879882812e-05,0.0061054229736328125,9.198612099158886e-05,-0.29442405700683594,-0.018314361572265625,-0.29906567777033466,0.007381916046142578,0.0061054229736328125,0.007084761885924314,-0.01506805419921875,0.0073261260986328125,-0.014461499618578148,0.02651214599609375,-0.0073261260986328125,0.02507880313601527,0.0001437664031982422,0.0030689239501953125,0.00013797918148738327,0.0,0.0,0.0,0.0,1.0,0.6899999976158142,0.0031593353487551212,-0.005662991665303707,-0.0031592792365700006,-0.9999789595603943
0.1810,1788395504.9378,ramp,0,0.003388,-0.0013940734145311722,0.04453565175760999,-0.006136299219016808,0.005127024836838245,-0.005569275468587875,0.4954777657985687,0.8685876131057739,-0.17803525924682617,0.0061054229736328125,-0.19220980539715127,0.003738880157470703,-0.0061054229736328125,0.003935752393567012,-0.01236724853515625,0.0061054229736328125,-0.011075648841029299,0.4953727722167969,-0.03052520751953125,0.4403473579652137,-0.30631256103515625,-0.04273414611816406,-0.2584811378059852,0.011600494384765625,0.0061054229736328125,0.010892632940252672,-0.1818699836730957,0.018314361572265625,-0.196420536905318,0.001438140869140625,-0.0061054229736328125,0.001556090420036096,0.009107589721679688,0.0061054229736328125,0.008146483901733732,0.4938392639160156,-0.0061054229736328125,0.4390662466597773,-0.3078465461730957,-0.04273414611816406,-0.25957923321064497,0.007381916046142578,0.0061054229736328125,0.006498885531309324,0.0002875328063964844,-0.0061054229736328125,0.000640555652718194,-0.012100172703952342,-0.1312931631405086,0.001156794230890365,0.00039215212596473506,-3.911625799181409e-05,0.0007567111381238373,0.17324161529541016,-0.10378456115722656,0.18232421517460481,0.03614377975463867,-0.10378456115722656,0.06960561158276785,-0.004506111145019531,0.0061054229736328125,-0.003569720592013759,-0.3011355400085449,-0.018314361572265625,-0.3005351171805691,0.008340835571289062,0.0061054229736328125,0.007963468000957106,-0.01506805419921875,-0.0073261260986328125,-0.014022113790846037,0.00858306884765625,-0.0073261260986328125,0.008194741825819113,0.18206167221069336,-0.09157562255859375,0.18763304208743128,-0.037102699279785156,0.06715583801269531,-0.07033767518587436,-9.584426879882812e-05,0.0061054229736328125,9.150795038831342e-05,-0.2973008155822754,-0.06715583801269531,-0.2990705347109213,0.007381916046142578,0.0061054229736328125,0.0070479332336392045,-0.01506805419921875,0.0073261260986328125,-0.01438632453866022,0.02651214599609375,-0.0073261260986328125,0.02494843622527152,0.0001437664031982422,0.0030689239501953125,0.00013726192558247014,0.0,0.0,0.0,0.0,1.0,0.6899999976158142,0.0029963073320686817,-0.0026550141628831625,-0.002996292430907488,-0.9999920129776001
